,set number,name,theme,subtheme,year,availability,pieces,retail price,value,growth,annual growth
11014,7841-1,Helicopter Rescue Unit,Duplo,Airport,2005,Retired,25  (PPP C$1.02),C$25.57,C$220.45,+762.23%,+15.46%
11015,7842-1,Jet Fuel Truck,Duplo,Airport,2005,Retired,10  (PPP C$0.77),C$7.66,C$102.19,+1233.89%,+13.75%
11016,7843-1,Plane,Duplo,Airport,2005,Retired,32  (PPP C$1.60),C$51.15,C$303.67,+493.72%,+10.98%
11017,7844-1,Airport Rescue Truck,Duplo,Airport,2006,Retired,30  (PPP C$0.64),C$19.17,C$177.33,+824.95%,+17.23%
11018,7846-1,Dragon Tournament,Duplo,Castle,2006,Retired,44  (PPP C$0.87),C$38.36,C$427.49,+1014.50%,+18.81%
11019,7848-1,Toys R Us City Truck,City,Traffic,2010,Retired,356  (PPP C$0.16),C$57.54,C$142.61,+147.83%,+8.16%
11020,7850-1,8 Straight Rails Grey 4.5 V,Trains,4.5V / 12V,1980,Retired,32  (PPP C$0.36),C$11.50,C$40.71,+254.06%,+4.99%
11021,7851-1,8 Curved Rails Grey 4.5 V,Trains,4.5V / 12V,1980,Retired,32  (PPP C$0.36),C$11.50,C$15.32,+33.26%,+0.72%
11022,7852-1,Left and Right Points Manual Grey 4.5 V,Trains,4.5V / 12V,1980,Retired,14  (PPP C$1.10),C$15.34,C$30.96,+101.92%,+4.92%
11023,7853-1,"Crossing, Grey 4.5 V",Trains,4.5V / 12V,1980,Retired,5,,C$23.57,,
11024,7854-1,8 Straight Electric Rails Grey 12 V,Trains,4.5V / 12V,1980,Retired,8  (PPP C$1.28),C$10.22,C$38.37,+275.47%,+2.68%
11025,7855-1,8 Curved Electric Rails Grey 12 V,Trains,4.5V / 12V,1980,Retired,8  (PPP C$1.28),C$10.22,C$15.12,+47.93%,+1.04%
11026,7856-1,Left and Right Manual Points with Electric Rails Grey 12 V,Trains,4.5V / 12V,1980,Retired,16  (PPP C$1.60),C$25.57,C$88.92,+247.77%,+4.02%
11027,7857-1,"Crossing, Electric Rails Grey 12 V",Trains,4.5V / 12V,1980,Retired,5  (PPP C$2.56),C$12.78,C$24.74,+93.59%,+1.88%
11028,78579-1,Action Pack,Town,Value Packs,1998,Retired,93  (PPP C$0.14),C$12.78,C$40.83,+219.52%,+5.43%
11029,7858-1,Remote Controlled Points Right 12 V,Trains,4.5V / 12V,1980,Retired,12  (PPP C$3.20),C$38.36,C$117.27,+205.74%,+2.20%
11030,7859-1,Remote Controlled Points Left 12 V,Trains,4.5V / 12V,1980,Retired,12  (PPP C$3.20),C$38.36,C$113.55,+196.03%,+2.53%
11031,7860-1,Remote Controlled Signal 12 V,Trains,4.5V / 12V,1980,Retired,24  (PPP C$1.60),C$38.36,C$224.36,+484.93%,+4.35%
11032,786-1,Storage Cloth,Basic,Supplementaries,1977,Retired,1  (PPP C$9.59),C$9.59,C$66.52,+593.47%,+4.61%
11033,7861-1,Lighting Set Electric 12 V,Trains,4.5V / 12V,1980,Retired,28  (PPP C$0.73),C$20.45,C$72.53,+254.66%,+3.39%
11034,7862-1,Remote Controlled Decoupling and Signal 12V,Trains,4.5V / 12V,1981,Retired,16,,C$185.34,,
11035,7863-1,Remote Controlled Point Motor 12 V,Trains,4.5V / 12V,1980,Retired,7  (PPP C$5.48),C$38.36,C$104.90,+173.49%,+2.55%
11036,7864-1,Transformer / Speed Controller 12 V,Trains,4.5V / 12V,1980,Retired,33  (PPP C$2.56),C$84.40,C$96.47,+14.31%,+0.87%
11037,7865-1,Motor Replacement Unit for Battery or Motor-Less Trains 12 V,Trains,4.5V / 12V,1980,Retired,19  (PPP C$2.02),C$38.36,C$378.61,+887.06%,+5.32%
11038,7866-1,Remote Controlled Road Crossing 12 V,Trains,4.5V / 12V,1983,Retired,191  (PPP C$0.40),C$76.10,"C$1,042.45",+1269.83%,+12.64%
11039,7867-1,4 Lighting Standards Electric 12 V,Trains,4.5V / 12V,1983,Retired,52  (PPP C$0.39),C$20.45,C$123.42,+503.50%,+3.92%
11040,7868-1,Mace Windu's Jedi Starfighter,Star Wars,The Clone Wars,2011,Retired,313  (PPP C$0.16),C$49.99,C$198.25,+287.60%,+12.83%
11041,7869-1,Battle for Geonosis,Star Wars,The Clone Wars,2011,Retired,331  (PPP C$0.15),C$49.99,C$203.62,+298.10%,+14.59%
11042,7870-1,Hans Christian Andersen Bucket,Creator,,2005,Retired,500  (PPP C$0.05),C$25.57,C$93.11,+264.18%,+9.01%
11043,787-1,Storage Cloth,Basic,Supplementaries,1977,Retired,1  (PPP C$9.59),C$9.59,C$110.10,+1047.73%,+3.65%
11044,7871-1,Whale,Creator,,2007,Retired,31,Free promotional,C$13.65,,+9.87%
11045,7872-1,Animal Set,Creator,,2007,Retired,57,Free promotional,C$13.40,,+3.36%
11046,7873-1,Aeroplane Set,Creator,,2007,Retired,38,Free promotional,C$11.06,,+7.91%
11047,7875-1,Backhoe,Creator,,2007,Retired,39,Free promotional,C$15.90,,+3.56%
11048,7876-1,Cement Truck,Creator,,2007,Retired,44  (PPP C$0.12),C$5.10,C$11.51,+125.56%,+6.46%
11049,7877-1,Naboo Starfighter,Star Wars,Episode I,2011,Retired,318  (PPP C$0.20),C$59.99,C$102.45,+60.23%,+5.84%
11050,78777-1,Alien Discovery,Space,Value Packs,2001,Retired,122  (PPP C$0.08),C$10.19,C$49.47,+385.32%,+8.95%
11051,7879-1,Hoth Echo Base,Star Wars,Episode V,2011,Retired,773  (PPP C$0.15),C$119.99,C$191.84,+66.67%,+3.91%
11052,78800-1,Soccer Co-Pack,Sports,Value Packs,2001,Retired,129  (PPP C$0.20),C$25.57,C$139.85,+446.97%,+13.23%
11053,7880-1,Big Pirate Ship,Duplo,Pirates,2006,Retired,60  (PPP C$2.13),C$127.89,C$639.50,+400.05%,+6.95%
11054,7881-1,Pirate Ship,Duplo,Pirates,2006,Retired,33  (PPP C$1.55),C$51.15,C$126.62,+147.56%,+7.25%
11055,7882-1,Shark Attack,Duplo,Pirates,2006,Retired,13  (PPP C$1.97),C$25.57,C$263.26,+929.66%,+19.59%
11056,7883-1,Treasure Hunt,Duplo,Pirates,2006,Retired,14  (PPP C$0.91),C$12.78,C$70.31,+450.25%,+13.97%
11057,7884-1,Batman's Buggy The Escape of Mr. Freeze,Batman,,2008,Retired,76  (PPP C$0.17),C$12.78,C$227.89,+1683.58%,+11.33%
11058,7885-1,Robin's Scuba Jet Attack of The Penguin,Batman,,2008,Retired,207  (PPP C$0.12),C$25.57,C$227.98,+791.70%,+10.16%
11059,7886-1,The Batcycle Harley Quinn's Hammer Truck,Batman,,2008,Retired,267  (PPP C$0.14),C$38.36,C$388.76,+913.54%,+18.10%
11060,7888-1,The Tumbler Joker's Ice Cream Surprise,Batman,,2008,Retired,449  (PPP C$0.14),C$63.94,C$738.48,+1055.01%,+10.64%
11061,7890-1,Ambulance,City,Medical,2006,Retired,118  (PPP C$0.09),C$10.22,C$62.80,+514.52%,+7.92%
11062,789-1,Storage Cloth,Basic,Supplementaries,1987,Retired,1  (PPP C$12.15),C$12.15,C$68.29,+462.00%,+5.37%
11063,7891-1,Airport Fire Truck,City,Airport,2006,Retired,148  (PPP C$0.13),C$19.17,C$64.03,+233.96%,+5.75%
11064,7892-1,Hospital,City,Medical,2006,Retired,382  (PPP C$0.17),C$63.94,C$210.19,+228.75%,+4.99%
11065,7893-1,Passenger Plane,City,Airport,2006,Retired,401  (PPP C$0.13),C$51.15,C$474.89,+828.48%,+15.03%
11066,7894-1,Airport,City,Airport,2006,Retired,700  (PPP C$0.15),C$102.31,C$455.57,+345.29%,+9.67%
11067,7895-1,Switching Tracks,City,Trains,2006,Retired,8  (PPP C$2.56),C$19.99,C$22.65,+10.76%,+2.48%
11068,7896-1,Straight and Curved Rails,City,Trains,2006,Retired,16  (PPP C$1.28),C$24.99,C$55.11,+169.48%,+5.98%
11069,7897-1,Passenger Train,City,Trains,2006,Retired,501  (PPP C$0.23),C$115.10,C$376.73,+227.31%,+7.14%
11070,7898-1,Cargo Train Deluxe,City,Trains,2006,Retired,856  (PPP C$0.22),C$191.84,C$509.08,+165.37%,+9.31%
11071,7899-1,Police Boat,City,Police,2006,Retired,199  (PPP C$0.16),C$31.96,C$128.77,+302.88%,+7.31%
11072,79000-1,Riddles for the Ring,The Hobbit,An Unexpected Journey,2012,Retired,105  (PPP C$0.12),C$12.99,C$39.16,+206.51%,+12.16%
11073,7900-1,Heavy Loader,City,Construction,2006,Retired,347  (PPP C$0.09),C$31.96,C$292.28,+814.45%,+10.99%
11074,79001-1,Escape from Mirkwood Spiders,The Hobbit,The Desolation of Smaug,2012,Retired,298  (PPP C$0.13),C$34.99,C$70.35,+83.39%,+10.98%
11075,79002-1,Attack of the Wargs,The Hobbit,An Unexpected Journey,2012,Retired,400  (PPP C$0.16),C$59.99,C$102.31,+60.01%,+5.63%
11076,79003-1,An Unexpected Gathering,The Hobbit,An Unexpected Journey,2012,Retired,652  (PPP C$0.14),C$84.99,C$278.58,+211.20%,+21.00%
11077,79004-1,Barrel Escape,The Hobbit,The Desolation of Smaug,2012,Retired,334  (PPP C$0.15),C$49.99,C$101.04,+97.55%,+12.30%
11078,79005-1,The Wizard Battle,The Lord of the Rings,The Fellowship of the Ring,2013,Retired,113  (PPP C$0.15),C$15.99,C$51.11,+207.62%,+16.68%
11079,79006-1,The Council of Elrond,The Lord of the Rings,The Fellowship of the Ring,2013,Retired,243  (PPP C$0.16),C$34.99,C$102.26,+166.59%,+18.26%
11080,79007-1,Battle at the Black Gate,The Lord of the Rings,The Return of the King,2013,Retired,656  (PPP C$0.12),C$74.99,C$236.10,+207.72%,+21.12%
11081,79008-1,Pirate Ship Ambush,The Lord of the Rings,The Return of the King,2013,Retired,756  (PPP C$0.17),C$129.99,C$239.88,+87.57%,+11.10%
11082,79010-1,The Goblin King Battle,The Hobbit,An Unexpected Journey,2012,Retired,841  (PPP C$0.15),C$129.99,C$153.58,+20.09%,+3.27%
11083,7901-1,Airplane Mechanic,City,Airport,2006,Retired,26  (PPP C$0.17),C$4.46,C$23.87,+434.67%,+7.17%
11084,79011-1,Dol Guldur Ambush,The Hobbit,The Desolation of Smaug,2013,Retired,217  (PPP C$0.12),C$24.99,C$44.77,+75.09%,+7.48%
11085,79012-1,Mirkwood Elf Army,The Hobbit,The Desolation of Smaug,2013,Retired,276  (PPP C$0.14),C$34.99,C$102.31,+166.72%,+14.80%
11086,79013-1,Lake-town Chase,The Hobbit,The Desolation of Smaug,2013,Retired,470  (PPP C$0.14),C$59.99,C$167.77,+162.39%,+12.97%
11087,79014-1,Dol Guldur Battle,The Hobbit,The Desolation of Smaug,2013,Retired,797  (PPP C$0.11),C$84.99,C$159.57,+78.25%,+10.30%
11088,79015-1,Witch-King Battle,The Hobbit,The Battle of the Five Armies,2014,Retired,101  (PPP C$0.19),C$17.99,C$48.86,+154.84%,+16.35%
11089,79016-1,Attack on Lake-town,The Hobbit,The Battle of the Five Armies,2014,Retired,313  (PPP C$0.12),C$34.99,C$83.14,+116.74%,+12.83%
11090,79017-1,The Battle of Five Armies,The Hobbit,The Battle of the Five Armies,2014,Retired,472  (PPP C$0.16),C$74.99,C$203.57,+165.31%,+14.97%
11091,79018-1,The Lonely Mountain,The Hobbit,The Battle of the Five Armies,2014,Retired,866  (PPP C$0.19),C$149.99,C$389.07,+134.02%,+14.03%
11092,7902-1,Doctor's Car,City,Medical,2006,Retired,66  (PPP C$0.12),C$7.66,C$31.98,+317.36%,+7.02%
11093,7903-1,Rescue Helicopter,City,Medical,2006,Retired,249  (PPP C$0.10),C$25.57,C$57.85,+126.26%,+6.63%
11094,7904-1,City Advent Calendar,City,Seasonal,2006,Retired,257  (PPP C$0.10),C$25.57,C$114.94,+349.57%,+8.03%
11095,7905-1,Building Crane,City,Construction,2006,Retired,721  (PPP C$0.12),C$89.52,C$519.24,+480.04%,+7.52%
11096,7906-1,Fireboat,City,Fire,2007,Retired,187  (PPP C$0.24),C$44.75,C$160.39,+258.39%,+9.57%
11097,7907-1,City Advent Calendar,City,Seasonal,2007,Retired,232  (PPP C$0.14),C$31.96,C$51.15,+60.02%,+3.66%
11098,79100-1,Kraang Lab Escape,Teenage Mutant Ninja Turtles,,2013,Retired,90  (PPP C$0.18),C$15.99,C$38.98,+134.64%,+9.61%
11099,7910-1,Robot,Creator,Designer Set,2004,Retired,29,Free promotional,C$38.37,,+16.25%
11100,79101-1,Shredder's Dragon Bike,Teenage Mutant Ninja Turtles,,2013,Retired,198  (PPP C$0.16),C$29.99,C$52.54,+64.39%,+7.73%
11101,79102-1,Stealth Shell in Pursuit,Teenage Mutant Ninja Turtles,,2013,Retired,162  (PPP C$0.16),C$24.99,C$44.75,+75.04%,+7.81%
11102,79103-1,Turtle Lair Attack,Teenage Mutant Ninja Turtles,,2013,Retired,488  (PPP C$0.13),C$59.99,C$112.12,+75.36%,+7.07%
11103,79104-1,The Shellraiser Street Chase,Teenage Mutant Ninja Turtles,,2013,Retired,620  (PPP C$0.12),C$74.99,C$112.86,+47.09%,+5.08%
11104,79105-1,Baxter Robot Rampage,Teenage Mutant Ninja Turtles,,2013,Retired,397  (PPP C$0.13),C$49.99,C$67.81,+32.58%,+4.92%
11105,79106-1,Cavalry Builder Set,The Lone Ranger,,2013,Retired,69  (PPP C$0.24),C$17.99,C$51.15,+207.85%,+12.54%
11106,79107-1,Comanche Camp,The Lone Ranger,,2013,Retired,161  (PPP C$0.16),C$24.99,C$50.14,+96.10%,+9.27%
11107,79108-1,Stagecoach Escape,The Lone Ranger,,2013,Retired,279  (PPP C$0.14),C$39.99,C$112.78,+194.03%,+13.54%
11108,79109-1,Colby City Showdown,The Lone Ranger,,2013,Retired,587  (PPP C$0.11),C$59.99,C$109.71,+71.59%,+8.45%
11109,791-1,Red Storage Box,Gear,Storage,1972,Retired,,,Unknown,,
11110,79110-1,Silver Mine Shootout,The Lone Ranger,,2013,Retired,644  (PPP C$0.14),C$89.99,C$109.37,+22.17%,+2.00%
11111,7911-1,Tugboat,Creator,Designer Set,2004,Retired,34,Free promotional,C$13.49,,+8.06%
11112,79111-1,Constitution Train Chase,The Lone Ranger,,2013,Retired,699  (PPP C$0.18),C$129.99,C$264.47,+106.80%,+11.04%
11113,79115-1,Turtle Van Takedown,Teenage Mutant Ninja Turtles,Movie,2014,Retired,368  (PPP C$0.14),C$49.99,C$99.83,+95.17%,+9.46%
11114,79116-1,Big Rig Snow Getaway,Teenage Mutant Ninja Turtles,Movie,2014,Retired,741  (PPP C$0.12),C$89.99,C$113.04,+26.28%,+3.31%
11115,79117-1,Turtle Lair Invasion,Teenage Mutant Ninja Turtles,Movie,2014,Retired,888  (PPP C$0.14),C$119.99,C$159.80,+24.95%,+4.35%
11116,79118-1,Karai Bike Escape,Teenage Mutant Ninja Turtles,,2014,Retired,88  (PPP C$0.19),C$15.99,C$25.58,+53.96%,+8.46%
11117,79119-1,Mutation Chamber Unleashed,Teenage Mutant Ninja Turtles,,2014,Retired,196  (PPP C$0.16),C$29.99,C$48.79,+52.66%,+7.44%
11118,79120-1,T-Rawket Sky Strike,Teenage Mutant Ninja Turtles,,2014,Retired,286  (PPP C$0.16),C$44.99,C$82.88,+85.20%,+9.00%
11119,7912-1,Helicopter,Creator,Designer Set,2004,Retired,26,Free promotional,C$12.80,,+7.76%
11120,79121-1,Turtle Sub Undersea Chase,Teenage Mutant Ninja Turtles,,2014,Retired,684  (PPP C$0.11),C$74.99,C$89.53,+16.69%,+3.13%
11121,79122-1,Shredder's Lair Rescue,Teenage Mutant Ninja Turtles,,2014,Retired,478  (PPP C$0.13),C$59.99,C$96.26,+50.55%,+5.22%
11122,7913-1,Clone Trooper Battle Pack,Star Wars,The Clone Wars,2011,Retired,85  (PPP C$0.20),C$14.99,C$74.83,+350.42%,+16.09%
11123,7914-1,Mandalorian Battle Pack,Star Wars,The Clone Wars,2011,Retired,68  (PPP C$0.24),C$14.99,C$76.69,+361.59%,+21.65%
11124,7915-1,Imperial V-wing Starfighter,Star Wars,Legends,2011,Retired,139  (PPP C$0.18),C$24.99,C$52.18,+104.10%,+4.98%
11125,7917-1,Basketball Blue Player,Sports,Basketball,2004,Retired,5,Free promotional,C$7.90,,+7.44%
11126,7918-1,Basketball Green Player,Sports,Basketball,2004,Retired,5,Free promotional,C$11.42,,+6.32%
11127,791901-1,Jack,Hidden Side,Magazine Gift,2019,Retired,,Included with magazine,C$4.45,,+2.15%
11128,791902-1,Possessed Pizza Delivery Man,Hidden Side,Magazine Gift,2019,Retired,,Included with magazine,C$4.21,,+3.15%
11129,791903-1,Parker,Hidden Side,Magazine Gift,2019,Retired,,Included with magazine,C$4.76,,+4.15%
11130,7919-1,White Hockey Player,Sports,Hockey,2004,Retired,5,Free promotional,C$10.87,,+17.23%
11131,792004-1,El Fuego,Hidden Side,Magazine Gift,2020,Retired,9,Included with magazine,C$4.99,,+8.15%
11132,792005-1,Possessed Biker,Hidden Side,Magazine Gift,2020,Retired,,Included with magazine,C$6.52,,+9.15%
11133,792006-1,J.B.,Hidden Side,Magazine Gift,2020,Retired,9,Included with magazine,C$5.61,,+9.15%
11134,792007-1,Worker,Hidden Side,Magazine Gift,2020,Retired,,Included with magazine,C$5.10,,+10.15%
11135,792008-1,Possessed Mechanic,Hidden Side,Magazine Gift,2020,Retired,,Included with magazine,C$5.03,,+4.15%
11136,792009-1,Jack and Spencer,Hidden Side,Magazine Gift,2020,Retired,,Included with magazine,C$5.79,,+6.15%
11137,7920-1,Blue Hockey Player,Sports,Hockey,2004,Retired,5,Free promotional,C$8.93,,+6.56%
11138,792-1,White Storage Box,Gear,Storage,1972,Retired,,,Unknown,,
11139,7921-1,Grey Vest Skateboarder,Sports,Gravity Games,2004,Retired,6,Free promotional,C$2.61,,+10.49%
11140,7922-1,Orange Vest Snowboarder,Sports,Gravity Games,2004,Retired,5,Free promotional,C$7.26,,+9.90%
11141,7923-1,White Football Player,Sports,Football,2004,Retired,5,Free promotional,C$5.85,,+9.97%
11142,7924-1,Red Football Player,Sports,Football,2004,Retired,5,Free promotional,C$14.56,,+10.85%
11143,7925-1,Clikits Fashion Design Kit 1,Clikits,,2004,Retired,5,Free promotional,C$14.63,,+10.55%
11144,7928-1,Clikits Fashion Design Kit 4,Clikits,,2004,Retired,5,Free promotional,C$2.01,,+7.82%
11145,7929-1,The Battle of Naboo,Star Wars,Episode I,2011,Retired,241  (PPP C$0.13),C$34.99,C$112.63,+252.38%,+16.39%
11146,7930-1,Bounty Hunter Assault Gunship,Star Wars,The Clone Wars,2011,Retired,389  (PPP C$0.16),C$64.99,C$104.83,+63.95%,+7.19%
11147,793-1,Blue Storage Box,Gear,Storage,1972,Retired,,,Unknown,,
11148,7931-1,T-6 Jedi Shuttle,Star Wars,The Clone Wars,2011,Retired,389  (PPP C$0.20),C$79.99,C$186.04,+142.47%,+11.98%
11149,7936-1,Level Crossing,City,Trains,2010,Retired,142  (PPP C$0.18),C$26.99,C$129.01,+404.60%,+9.94%
11150,7937-1,Train Station,City,Trains,2010,Retired,361  (PPP C$0.18),C$69.99,C$162.45,+154.07%,+12.61%
11151,7938-1,Passenger Train,City,Trains,2010,Retired,669  (PPP C$0.25),C$169.99,C$273.26,+64.36%,+6.38%
11152,7939-1,Cargo Train,City,Trains,2010,Retired,839  (PPP C$0.27),C$239.99,C$373.97,+62.45%,+7.76%
11153,794-1,Storage Box,Gear,Storage,1972,Retired,,,Unknown,,
11154,7942-1,Off-Road Fire Rescue,City,Fire,2007,Retired,131  (PPP C$0.10),C$12.99,C$30.27,+136.94%,+8.44%
11155,7944-1,Fire Hovercraft,City,Fire,2007,Retired,274  (PPP C$0.14),C$38.36,C$104.38,+172.12%,+8.71%
11156,7945-1,Fire Station,City,Fire,2007,Retired,600  (PPP C$0.13),C$76.73,C$191.75,+149.91%,+5.91%
11157,7946-1,King's Castle,Castle,Kingdoms,2010,Retired,933  (PPP C$0.14),C$129.99,C$452.89,+254.14%,+11.64%
11158,7947-1,Prison Tower Rescue,Castle,Kingdoms,2010,Retired,365  (PPP C$0.18),C$69.99,C$192.54,+201.14%,+11.56%
11159,7948-1,Outpost Attack,Castle,Kingdoms,2010,Retired,194  (PPP C$0.13),C$26.99,C$97.11,+279.84%,+12.90%
11160,7949-1,Prison Carriage Rescue,Castle,Kingdoms,2010,Retired,50  (PPP C$0.26),C$12.99,C$38.50,+201.30%,+11.53%
11161,7950-1,Knight's Showdown,Castle,Kingdoms,2010,Retired,61  (PPP C$0.15),C$9.99,C$30.89,+245.49%,+10.92%
11162,795-1,2 Large Baseplates Red/Blue,Universal Building Set,Supplemental,1971,Retired,2  (PPP C$1.34),C$2.69,C$21.27,+691.90%,+4.32%
11163,7951-1,XL Bucket,Duplo,Building Sets,2001,Retired,78  (PPP C$0.33),C$25.57,Unknown,,
11164,7969-1,XL Bucket,Duplo,Building Sets,2001,Retired,106  (PPP C$0.27),C$28.13,Unknown,,
11165,7952-1,Kingdoms Advent Calendar,Castle,Seasonal,2010,Retired,167  (PPP C$0.27),C$39.99,C$97.82,+118.58%,+6.88%
11166,7953-1,Court Jester,Castle,Kingdoms,2010,Retired,22  (PPP C$0.23),C$4.99,C$8.91,+74.69%,+5.69%
11167,7955-1,Wizard,Castle,Kingdoms,2010,Retired,19  (PPP C$0.27),C$4.99,C$27.63,+441.35%,+14.33%
11168,7956-1,Ewok Attack,Star Wars,Episode VI,2011,Retired,166  (PPP C$0.19),C$34.99,C$82.33,+157.58%,+12.50%
11169,7957-1,Sith Nightspeeder,Star Wars,The Clone Wars,2011,Retired,213  (PPP C$0.15),C$34.99,C$83.19,+160.26%,+12.77%
11170,7958-1,Star Wars Advent Calendar,Star Wars,Seasonal,2011,Retired,266  (PPP C$0.19),C$49.99,C$57.50,+12.43%,+1.50%
11171,7959-1,Geonosian Starfighter,Star Wars,The Clone Wars,2011,Retired,155  (PPP C$0.25),C$39.99,C$88.28,+130.14%,+9.19%
11172,796-1,2 Large Baseplates Green/Yellow,Universal Building Set,Supplemental,1971,Retired,2  (PPP C$1.34),C$2.69,C$22.95,+754.29%,+4.48%
11173,7961-1,Darth Maul's Sith Infiltrator,Star Wars,Episode I,2011,Retired,479  (PPP C$0.19),C$89.99,C$134.37,+50.11%,+3.47%
11174,7962-1,Anakin Skywalker and Sebulba's Podracers,Star Wars,Episode I,2011,Retired,810  (PPP C$0.14),C$119.99,C$172.67,+50.02%,+3.82%
11175,7964-1,Republic Frigate,Star Wars,The Clone Wars,2011,Retired,"1,015  (PPP C$0.15)",C$154.99,C$422.62,+175.38%,+13.65%
11176,7965-1,Millennium Falcon,Star Wars,Episode IV,2011,Retired,"1,254  (PPP C$0.14)",C$179.99,C$304.27,+69.94%,+9.27%
11177,7967-1,Fast,Racers,Power Racers,2010,Retired,69  (PPP C$0.24),C$17.99,C$42.81,+157.66%,+7.68%
11178,7968-1,Strong,Racers,Power Racers,2010,Retired,91  (PPP C$0.18),C$17.99,C$36.27,+118.32%,+7.93%
11179,7970-1,Hero,Racers,Power Racers,2010,Retired,68  (PPP C$0.24),C$17.99,C$42.14,+153.66%,+10.02%
11180,797-1,2 Large Baseplates Grey/White,Universal Building Set,Supplemental,1971,Retired,2  (PPP C$1.34),C$2.69,Unknown,,
11181,7971-1,Bad,Racers,Power Racers,2010,Retired,72  (PPP C$0.23),C$17.99,C$33.05,+98.92%,+5.65%
11182,7975-1,XL Bucket,Duplo,Building Sets,2000,Retired,107  (PPP C$0.30),C$31.96,Unknown,,
11183,7976-1,Ocean Speeder,Atlantis,,2011,Retired,54  (PPP C$0.12),C$6.99,C$14.06,+120.24%,+7.24%
11184,7977-1,Seabed Strider,Atlantis,,2011,Retired,105  (PPP C$0.12),C$12.99,C$29.16,+128.23%,+6.56%
11185,7978-1,Angler Attack,Atlantis,,2011,Retired,200  (PPP C$0.13),C$24.99,C$76.74,+200.15%,+10.14%
11186,7979-1,Castle Advent Calendar,Castle,Seasonal,2008,Retired,176  (PPP C$0.22),C$38.36,C$113.54,+196.00%,+7.42%
11187,798-1,2 Medium Baseplates Green,Universal Building Set,Supplemental,1971,Retired,2  (PPP C$1.98),C$3.96,C$13.93,+251.29%,+1.89%
11188,7984-1,Deep Sea Raider,Atlantis,,2011,Retired,265  (PPP C$0.14),C$39.99,C$49.32,+28.58%,+3.18%
11189,7985-1,City of Atlantis,Atlantis,,2011,Retired,686  (PPP C$0.13),C$89.99,C$232.25,+159.45%,+8.70%
11190,7990-1,Cement Mixer,City,Traffic,2007,Retired,213  (PPP C$0.09),C$19.17,C$102.42,+434.22%,+11.00%
11191,799-1,Gray Baseplate,Classic,Supplemental,1964,Retired,,C$1.92,C$20.54,+970.67%,+4.33%
11192,7991-1,Recycle Truck,City,Traffic,2007,Retired,206  (PPP C$0.11),C$21.73,C$70.42,+224.07%,+7.37%
11193,7992-1,Container Stacker,City,Harbour,2007,Retired,218  (PPP C$0.12),C$25.57,C$75.51,+195.35%,+4.66%
11194,7993-1,Service Station,City,Traffic,2007,Retired,402  (PPP C$0.13),C$51.15,C$181.73,+255.31%,+5.27%
11195,7994-1,LEGO City Harbor,City,Harbour,2007,Retired,659  (PPP C$0.17),C$115.10,C$502.67,+336.74%,+11.01%
11196,7996-1,Train Rail Crossing,City,Trains,2007,Retired,4  (PPP C$7.99),C$31.96,C$227.16,+610.72%,+20.02%
11197,7997-1,Train Station,City,Trains,2007,Retired,387  (PPP C$0.15),C$57.54,C$225.21,+291.38%,+9.28%
11198,7998-1,Heavy Hauler,City,Traffic,2007,Retired,332  (PPP C$0.13),C$44.75,C$141.47,+216.12%,+5.05%
11199,8000-1,Pit Droid,Star Wars,Technic,2000,Retired,223  (PPP C$0.11),C$25.57,C$63.22,+147.27%,+4.63%
11200,80006-1,White Dragon Horse Bike,Monkie Kid,,2020,Retail,259  (PPP C$0.17),C$44.99,,,
11201,80007-1,Iron Bull Tank,Monkie Kid,,2020,Retail,430  (PPP C$0.15),C$69.99,,,
11202,80008-1,Monkie Kid's Cloud Jet,Monkie Kid,,2020,Retail,529  (PPP C$0.15),C$74.99,,,
11203,80009-1,Pigsy's Food Truck,Monkie Kid,,2020,Retail,832  (PPP C$0.11),C$89.99,,,
11204,800-1,"Gears, Motor and Bricks",Universal Building Set,Gears,1970,Retired,120  (PPP C$0.05),C$6.25,Unknown,,
11205,80010-1,Demon Bull King,Monkie Kid,,2020,Retail,"1,051  (PPP C$0.11)",C$119.99,,,
11206,8001-1,Battle Droid,Star Wars,Technic,2000,Retired,363  (PPP C$0.11),C$38.36,C$149.36,+289.40%,+7.45%
11207,80011-1,Red Son's Inferno Truck,Monkie Kid,,2020,Retail,"1,111  (PPP C$0.14)",C$149.99,,,
11208,80012-1,Monkey King Warrior Mech,Monkie Kid,,2020,Retail,"1,629  (PPP C$0.12)",C$189.99,,,
11209,80013-1,Monkie Kid's Team Secret HQ,Monkie Kid,,2020,Retail,"1,959  (PPP C$0.11)",C$249.99,,,
11210,80014-1,Sandy's Speedboat,Monkie Kid,,2020,Retail,394  (PPP C$0.23),C$79.99,,,
11211,80015-1,Monkie Kid's Cloud Roadster,Monkie Kid,,2020,Retail,659  (PPP C$0.14),C$89.52,,,
11212,80016-1,The Flaming Foundry,Monkie Kid,,2020,Retail,"1,427  (PPP C$0.13)",C$179.05,,,
11213,800-2,Extra Bricks Red,Basic,Supplementaries,1986,Retired,120  (PPP C$0.05),C$6.08,C$19.85,+226.74%,+4.28%
11214,8002-1,Destroyer Droid,Star Wars,Technic,2000,Retired,558  (PPP C$0.11),C$63.94,C$332.96,+420.76%,+5.66%
11215,8003-1,Volcano Climber,Technic,Robo Riders,2000,Retired,35  (PPP C$0.22),C$7.66,C$16.70,+118.03%,+3.98%
